#;Company;Symbol;Weight;Price;Chg;% Chg;Date
24;Coca-Cola Company;KO;0.60%;71.91;-0.61;(-0.84%);2025-04-26
25;Philip Morris International Inc.;PM;0.57%;170.24;0.17;(0.10%);2025-04-26
26;Bank of America Corporation;BAC;0.56%;39.69;0.11;(0.28%);2025-04-26
27;Salesforce, Inc.;CRM;0.54%;267.85;3.15;(1.19%);2025-04-26
28;Chevron Corporation;CVX;0.50%;138.73;-0.34;(-0.24%);2025-04-26
29;Wells Fargo & Co.;WFC;0.49%;69.73;0.17;(0.24%);2025-04-26
30;Mcdonald's Corporation;MCD;0.49%;316.74;0.52;(0.16%);2025-04-26
31;Abbott Laboratories;ABT;0.48%;128.85;-0.53;(-0.41%);2025-04-26
32;Cisco Systems, Inc.;CSCO;0.48%;56.71;0.42;(0.75%);2025-04-26
33;Oracle Corp;ORCL;0.48%;138.49;0.98;(0.71%);2025-04-26
34;Palantir Technologies Inc. Class A;PLTR;0.47%;112.78;5.00;(4.64%);2025-04-26
35;Linde Plc;LIN;0.46%;448.40;-1.13;(-0.25%);2025-04-26
36;International Business Machines Corporation;IBM;0.46%;232.41;3.08;(1.34%);2025-04-26
37;Ge Aerospace;GE;0.46%;198.43;1.02;(0.52%);2025-04-26
38;Merck & Co., Inc.;MRK;0.43%;82.74;2.90;(3.63%);2025-04-26
39;At&t Inc.;T;0.42%;26.81;-0.72;(-2.62%);2025-04-26
40;Servicenow, Inc.;NOW;0.42%;945.26;6.69;(0.71%);2025-04-26
41;Pepsico, Inc.;PEP;0.40%;133.38;-1.93;(-1.43%);2025-04-26
42;Accenture Plc;ACN;0.39%;293.39;1.98;(0.68%);2025-04-26
43;Intuitive Surgical Inc.;ISRG;0.39%;514.59;6.46;(1.27%);2025-04-26
44;Verizon Communications;VZ;0.39%;41.91;-0.90;(-2.10%);2025-04-26
45;Intuit Inc;INTU;0.37%;624.12;9.29;(1.51%);2025-04-26
46;Goldman Sachs Group Inc.;GS;0.37%;544.86;-0.51;(-0.09%);2025-04-26
47;Thermo Fisher Scientific, Inc.;TMO;0.35%;424.24;-2.42;(-0.57%);2025-04-26
48;Uber Technologies, Inc.;UBER;0.35%;77.75;-0.35;(-0.45%);2025-04-26
49;Qualcomm Inc;QCOM;0.35%;148.56;1.35;(0.92%);2025-04-26
50;The Walt Disney Company;DIS;0.35%;90.28;0.27;(0.30%);2025-04-26
51;Rtx Corporation;RTX;0.35%;125.22;3.25;(2.66%);2025-04-26
52;Booking Holdings Inc.;BKNG;0.34%;4,838.44;10.47;(0.22%);2025-04-26
53;Adobe Inc.;ADBE;0.34%;367.72;6.81;(1.89%);2025-04-26
54;Progressive Corporation;PGR;0.33%;265.01;-0.18;(-0.07%);2025-04-26
55;Advanced Micro Devices;AMD;0.33%;96.65;2.17;(2.30%);2025-04-26
56;S&p Global Inc.;SPGI;0.33%;480.00;-1.26;(-0.26%);2025-04-26
57;Amgen Inc;AMGN;0.32%;280.84;1.00;(0.36%);2025-04-26
58;Boston Scientific Corp.;BSX;0.32%;101.90;0.76;(0.75%);2025-04-26
59;American Express Company;AXP;0.32%;264.81;-2.51;(-0.94%);2025-04-26
60;Texas Instruments Incorporated;TXN;0.32%;162.86;0.73;(0.45%);2025-04-26
61;Caterpillar Inc.;CAT;0.32%;306.45;-0.41;(-0.13%);2025-04-26
62;Morgan Stanley;MS;0.31%;116.01;0.41;(0.35%);2025-04-26
63;Tjx Companies, Inc.;TJX;0.31%;126.56;0.06;(0.05%);2025-04-26
64;Nextra Energy, Inc.;NEE;0.29%;66.09;-0.26;(-0.39%);2025-04-26
65;The Charles Schwab Corporation;SCHW;0.29%;79.94;0.56;(0.71%);2025-04-26
66;Blackrock, Inc.;BLK;0.29%;907.69;-8.57;(-0.94%);2025-04-26
67;Gilead Sciences Inc;GILD;0.28%;103.17;-2.98;(-2.81%);2025-04-26
68;Boeing Company;BA;0.28%;177.95;1.69;(0.96%);2025-04-26
69;Honeywell International, Inc.;HON;0.28%;199.16;-1.58;(-0.79%);2025-04-26
70;Union Pacific Corp.;UNP;0.28%;213.29;-2.16;(-1.00%);2025-04-26
71;Pfizer Inc.;PFE;0.28%;22.92;0.14;(0.61%);2025-04-26
72;Citigroup Inc.;C;0.28%;68.43;0.27;(0.40%);2025-04-26
73;Vertex Pharmaceuticals Inc;VRTX;0.27%;493.84;1.37;(0.28%);2025-04-26
74;Danaher Corporation;DHR;0.27%;197.14;0.64;(0.33%);2025-04-26
75;T-Mobile Us, Inc.;TMUS;0.27%;232.77;-29.41;(-11.22%);2025-04-26
76;Lowe's Companies Inc.;LOW;0.27%;220.91;-1.14;(-0.51%);2025-04-26
77;Comcast Corp;CMCSA;0.27%;33.90;0.71;(2.14%);2025-04-26
78;Stryker Corporation;SYK;0.27%;365.06;4.01;(1.11%);2025-04-26
79;Applied Materials Inc;AMAT;0.26%;151.55;1.38;(0.92%);2025-04-26
80;Automatic Data Processing;ADP;0.26%;291.76;-2.79;(-0.95%);2025-04-26
81;Deere & Company;DE;0.25%;459.30;-5.21;(-1.12%);2025-04-26
82;Conocophillips;COP;0.25%;91.72;-0.08;(-0.09%);2025-04-26
83;Palo Alto Networks, Inc.;PANW;0.25%;178.98;2.94;(1.67%);2025-04-26
84;Eaton Corporation, Plcs;ETN;0.24%;288.82;1.80;(0.63%);2025-04-26
85;Medtronic Plc;MDT;0.23%;84.16;-0.14;(-0.17%);2025-04-26
86;Marsh & Mclennan Companies, Inc.;MMC;0.23%;219.24;0.28;(0.13%);2025-04-26
87;Chubb Limited;CB;0.23%;279.11;-2.89;(-1.02%);2025-04-26
88;Crowdstrike Holdings, Inc. Class A;CRWD;0.22%;424.88;10.83;(2.62%);2025-04-26
89;Fiserv, Inc.;FI;0.22%;177.53;0.63;(0.36%);2025-04-26
90;The Southern Company;SO;0.21%;90.43;-0.62;(-0.68%);2025-04-26
91;Elevance Health, Inc.;ELV;0.21%;421.68;-7.11;(-1.66%);2025-04-26
92;Altria Group, Inc.;MO;0.21%;58.26;-0.45;(-0.77%);2025-04-26
93;Ge Vernova Inc.;GEV;0.21%;372.42;11.93;(3.31%);2025-04-26
94;Bristol-Myers Squibb Co.;BMY;0.21%;47.90;-0.79;(-1.62%);2025-04-26
95;American Tower Corporation;AMT;0.21%;210.82;-0.09;(-0.04%);2025-04-26
96;Blackstone Inc.;BX;0.21%;132.86;-1.69;(-1.26%);2025-04-26
97;Lockheed Martin Corp.;LMT;0.21%;477.64;10.83;(2.32%);2025-04-26
98;Analog Devices, Inc.;ADI;0.21%;194.59;-0.64;(-0.33%);2025-04-26
99;Prologis, Inc.;PLD;0.21%;102.24;-1.12;(-1.08%);2025-04-26
100;Starbucks Corp;SBUX;0.20%;83.81;-0.05;(-0.06%);2025-04-26
101;Cme Group Inc.;CME;0.20%;266.30;3.03;(1.15%);2025-04-26
102;Duke Energy Corporation;DUK;0.20%;119.85;-0.85;(-0.70%);2025-04-26
103;Intercontinental Exchange  Inc.;ICE;0.20%;163.23;0.25;(0.15%);2025-04-26
104;Intel Corp;INTC;0.20%;20.05;-1.44;(-6.70%);2025-04-26
105;Amphenol Corporation;APH;0.20%;75.85;-0.18;(-0.24%);2025-04-26
106;The Cigna Group;CI;0.20%;335.36;-0.34;(-0.10%);2025-04-26
107;Kla Corporation;KLAC;0.20%;694.61;5.19;(0.75%);2025-04-26
108;Lam Research Corp;LRCX;0.20%;71.42;0.52;(0.73%);2025-04-26
109;Welltower Inc.;WELL;0.19%;146.96;-0.79;(-0.53%);2025-04-26
110;Mckesson Corporation;MCK;0.19%;695.00;6.57;(0.95%);2025-04-26
111;Micron Technology, Inc.;MU;0.19%;79.78;2.36;(3.05%);2025-04-26
112;Mondelez International, Inc. Class A;MDLZ;0.18%;65.59;0.07;(0.11%);2025-04-26
113;Arthur J. Gallagher & Co.;AJG;0.18%;322.30;-9.22;(-2.78%);2025-04-26
114;Waste Management, Inc.;WM;0.18%;228.31;0.84;(0.37%);2025-04-26
115;Cvs Health Corporation;CVS;0.18%;65.32;-0.60;(-0.91%);2025-04-26
116;Equinix, Inc. Reit;EQIX;0.17%;838.10;20.91;(2.56%);2025-04-26
117;Aon Plc Class A;AON;0.17%;335.85;-29.20;(-8.00%);2025-04-26
118;Arista Networks;ANET;0.17%;77.91;2.62;(3.48%);2025-04-26
119;O'reilly Automotive, Inc.;ORLY;0.17%;1,347.00;-5.17;(-0.38%);2025-04-26
120;The Sherwin-Williams Company;SHW;0.17%;331.62;-2.82;(-0.84%);2025-04-26
121;Cadence Design Systems;CDNS;0.17%;289.63;7.85;(2.79%);2025-04-26
122;Trane Technologies Plc;TT;0.17%;347.97;4.93;(1.44%);2025-04-26
123;Parker-Hannifin Corporation;PH;0.17%;598.02;1.21;(0.20%);2025-04-26
124;Transdigm Group Incorporated;TDG;0.16%;1,378.13;10.11;(0.74%);2025-04-26
125;Kkr & Co. Inc.;KKR;0.16%;113.63;0.38;(0.34%);2025-04-26
126;3m Company;MMM;0.16%;137.32;-1.56;(-1.12%);2025-04-26
127;Colgate-Palmolive Company;CL;0.16%;93.91;1.21;(1.31%);2025-04-26
128;Williams Companies Inc.;WMB;0.16%;59.03;-0.58;(-0.97%);2025-04-26
129;United Parcel Service, Inc. Class B;UPS;0.16%;97.91;-1.01;(-1.02%);2025-04-26
130;Cintas Corp;CTAS;0.15%;208.40;-1.35;(-0.64%);2025-04-26
131;Motorola Solutions, Inc.;MSI;0.15%;430.22;2.08;(0.49%);2025-04-26
132;Capital One Financial;COF;0.15%;182.73;-2.32;(-1.25%);2025-04-26
133;Nike, Inc.;NKE;0.15%;57.62;-0.86;(-1.47%);2025-04-26
134;General Dynamics Corporation;GD;0.15%;271.97;0.26;(0.10%);2025-04-26
135;Constellation Energy Corporation;CEG;0.15%;222.99;4.92;(2.26%);2025-04-26
136;Zoetis Inc.;ZTS;0.15%;153.47;1.17;(0.77%);2025-04-26
137;Moody's Corporation;MCO;0.15%;438.62;-0.96;(-0.22%);2025-04-26
138;Synopsys Inc;SNPS;0.15%;446.62;7.72;(1.76%);2025-04-26
139;Chipotle Mexican Grill, Inc.;CMG;0.14%;51.78;2.24;(4.52%);2025-04-26
140;Illinois Tool Works Inc.;ITW;0.14%;239.50;-2.57;(-1.06%);2025-04-26
141;Fortinet, Inc.;FTNT;0.14%;101.80;1.08;(1.07%);2025-04-26
142;Paypal Holdings, Inc.;PYPL;0.14%;65.34;0.57;(0.88%);2025-04-26
143;Eog Resources, Inc.;EOG;0.14%;113.07;-0.39;(-0.34%);2025-04-26
144;Doordash, Inc. Class A;DASH;0.14%;187.76;0.54;(0.29%);2025-04-26
145;Newmont Corporation;NEM;0.14%;53.94;-1.76;(-3.16%);2025-04-26
146;Pnc Financial Services Group;PNC;0.14%;158.46;-1.29;(-0.81%);2025-04-26
147;Regeneron Pharmaceuticals Inc;REGN;0.14%;602.64;2.88;(0.48%);2025-04-26
148;Northrop Grumman Corp.;NOC;0.14%;473.20;10.13;(2.19%);2025-04-26
149;U.S. Bancorp;USB;0.13%;39.92;-0.13;(-0.32%);2025-04-26
150;Hca Healthcare, Inc.;HCA;0.13%;327.92;-13.49;(-3.95%);2025-04-26
151;Autozone, Inc.;AZO;0.13%;3,609.33;-0.32;(-0.01%);2025-04-26
152;Ecolab, Inc.;ECL;0.13%;238.14;-1.53;(-0.64%);2025-04-26
153;Roper Technologies, Inc.;ROP;0.13%;557.70;-1.96;(-0.35%);2025-04-26
154;Air Products & Chemicals, Inc.;APD;0.13%;267.11;-1.74;(-0.65%);2025-04-26
155;Apollo Global Management, Inc.;APO;0.13%;133.40;0.08;(0.06%);2025-04-26
156;Emerson Electric Co.;EMR;0.13%;105.28;0.23;(0.22%);2025-04-26
157;The Travelers Companies, Inc.;TRV;0.13%;259.16;-1.24;(-0.48%);2025-04-26
158;Becton, Dickinson and Co.;BDX;0.13%;205.08;0.63;(0.31%);2025-04-26
159;Autodesk Inc;ADSK;0.13%;269.93;-1.78;(-0.66%);2025-04-26
160;American Electric Power Company, Inc.;AEP;0.12%;106.74;0.04;(0.04%);2025-04-26
161;Bank of New York Mellon Corporation;BK;0.12%;78.65;-0.07;(-0.09%);2025-04-26
162;Copart Inc;CPRT;0.12%;60.90;-1.07;(-1.73%);2025-04-26
163;Csx Corporation;CSX;0.12%;27.84;-0.30;(-1.07%);2025-04-26
164;Freeport-Mcmoran Inc.;FCX;0.12%;37.35;-0.28;(-0.74%);2025-04-26
165;Howmet Aerospace Inc.;HWM;0.12%;135.76;2.27;(1.70%);2025-04-26
166;Marriot International Class A;MAR;0.12%;236.20;-0.06;(-0.03%);2025-04-26
167;Aflac Inc.;AFL;0.12%;107.94;-1.20;(-1.10%);2025-04-26
168;Oneok, Inc.;OKE;0.12%;86.31;0.03;(0.03%);2025-04-26
169;Johnson Controls International Plc;JCI;0.11%;81.07;0.71;(0.88%);2025-04-26
170;Hilton Worldwide Holdings Inc.;HLT;0.11%;219.62;0.26;(0.12%);2025-04-26
171;Airbnb, Inc. Class A;ABNB;0.11%;122.51;0.80;(0.66%);2025-04-26
172;Royal Caribbean Group;RCL;0.11%;211.97;0.66;(0.31%);2025-04-26
173;Kinder Morgan, Inc.;KMI;0.11%;26.85;-0.02;(-0.07%);2025-04-26
174;The Allstate Corporation;ALL;0.11%;192.91;-1.95;(-1.00%);2025-04-26
175;Norfolk Southern Corp.;NSC;0.11%;221.71;-4.97;(-2.19%);2025-04-26
176;Workday, Inc. Class A;WDAY;0.11%;239.53;2.66;(1.12%);2025-04-26
177;Realty Income Corporation;O;0.11%;56.89;-0.26;(-0.45%);2025-04-26
178;Truist Financial Corporation;TFC;0.11%;37.67;-0.23;(-0.61%);2025-04-26
179;Nxp Semiconductors N.v.;NXPI;0.11%;193.55;-0.02;(-0.01%);2025-04-26
180;Schlumberger Limited;SLB;0.11%;34.52;-0.41;(-1.17%);2025-04-26
181;American International Group, Inc.;AIG;0.11%;81.22;-1.23;(-1.49%);2025-04-26
182;Republic Services Inc.;RSG;0.11%;243.56;2.80;(1.16%);2025-04-26
183;Cencora, Inc.;COR;0.10%;285.90;3.51;(1.24%);2025-04-26
184;Carrier Global Corporation;CARR;0.10%;60.06;-0.25;(-0.41%);2025-04-26
185;Digital Realty Trust, Inc.;DLR;0.10%;159.88;6.13;(3.99%);2025-04-26
186;Paccar Inc;PCAR;0.10%;91.89;-0.79;(-0.85%);2025-04-26
187;Simon Property Group, Inc.;SPG;0.10%;156.66;0.46;(0.29%);2025-04-26
188;Fedex Corporation;FDX;0.10%;211.56;-4.13;(-1.91%);2025-04-26
189;The Kroger Co.;KR;0.10%;70.00;-1.35;(-1.89%);2025-04-26
190;Sempra;SRE;0.10%;74.68;0.16;(0.21%);2025-04-26
191;Fair Isaac Corporation;FICO;0.10%;1,952.31;15.50;(0.80%);2025-04-26
192;Discover Financial Services;DFS;0.10%;184.86;-2.60;(-1.39%);2025-04-26
193;Fastenal Co;FAST;0.10%;80.73;-1.37;(-1.67%);2025-04-26
194;General Motors Company;GM;0.10%;47.11;0.23;(0.49%);2025-04-26
195;Exelon Corporation;EXC;0.10%;46.22;-0.11;(-0.24%);2025-04-26
196;Public Storage;PSA;0.10%;290.91;-2.88;(-0.98%);2025-04-26
197;Paychex Inc;PAYX;0.10%;143.21;-1.00;(-0.69%);2025-04-26
198;Ross Stores Inc;ROST;0.10%;139.71;-0.22;(-0.16%);2025-04-26
199;Ameriprise Financial, Inc.;AMP;0.10%;465.94;-8.14;(-1.72%);2025-04-26
200;W.W. Grainger, Inc.;GWW;0.10%;1,013.87;-5.28;(-0.52%);2025-04-26
201;Dominion Energy, Inc;D;0.10%;52.95;-0.40;(-0.75%);2025-04-26
202;Edwards Lifesciences Corp;EW;0.10%;76.04;0.91;(1.21%);2025-04-26
203;Metlife, Inc.;MET;0.09%;75.19;-0.67;(-0.88%);2025-04-26
204;Kimberly-Clark Corp.;KMB;0.09%;131.61;-0.73;(-0.55%);2025-04-26
205;Crown Castle Inc.;CCI;0.09%;100.19;-0.56;(-0.56%);2025-04-26
206;Target Corporation;TGT;0.09%;96.58;1.27;(1.33%);2025-04-26
207;Kenvue Inc.;KVUE;0.09%;23.01;0.26;(1.14%);2025-04-26
208;Marathon Petroleum Corporation;MPC;0.09%;137.44;-0.10;(-0.07%);2025-04-26
209;Phillips 66;PSX;0.09%;103.97;-0.72;(-0.69%);2025-04-26
210;Te Connectivity Plc;TEL;0.09%;144.37;0.85;(0.59%);2025-04-26
211;Axon Enterprise, Inc.;AXON;0.09%;603.78;13.11;(2.22%);2025-04-26
212;Fidelity National Information Services, Inc.;FIS;0.09%;79.26;-0.61;(-0.76%);2025-04-26
213;Corteva, Inc.;CTVA;0.09%;61.47;-0.24;(-0.39%);2025-04-26
214;Vistra Corp.;VST;0.09%;126.64;2.41;(1.94%);2025-04-26
215;United Rentals, Inc.;URI;0.09%;633.60;-13.76;(-2.13%);2025-04-26
216;Quanta Services, Inc.;PWR;0.09%;287.34;5.22;(1.85%);2025-04-26
217;Keurig Dr Pepper Inc.;KDP;0.09%;34.40;-0.06;(-0.17%);2025-04-26
218;Yum! Brands, Inc.;YUM;0.09%;147.30;-0.28;(-0.19%);2025-04-26
219;Msci, Inc.;MSCI;0.09%;535.36;4.76;(0.90%);2025-04-26
220;Monster Beverage Corporation;MNST;0.09%;58.67;0.08;(0.14%);2025-04-26
221;Public Service Enterprise Group Incorporated;PEG;0.09%;81.03;-0.69;(-0.84%);2025-04-26
222;L3harris Technologies, Inc.;LHX;0.09%;216.08;-0.19;(-0.09%);2025-04-26
223;Verisk Analytics, Inc.;VRSK;0.09%;286.05;-2.19;(-0.76%);2025-04-26
224;Xcel Energy, Inc.;XEL;0.09%;69.00;-1.29;(-1.84%);2025-04-26
225;Cummins Inc.;CMI;0.09%;293.26;-0.70;(-0.24%);2025-04-26
226;Ford Motor Company;F;0.08%;10.04;-0.02;(-0.20%);2025-04-26
227;Ametek, Inc.;AME;0.08%;166.69;-0.55;(-0.33%);2025-04-26
228;Targa Resources Corp.;TRGP;0.08%;177.62;0.62;(0.35%);2025-04-26
229;Consolidated Edison, Inc.;ED;0.08%;110.45;-0.84;(-0.75%);2025-04-26
230;Pg&e Corporation;PCG;0.08%;17.14;-0.25;(-1.44%);2025-04-26
231;Prudential Financial, Inc.;PRU;0.08%;102.90;-1.13;(-1.09%);2025-04-26
232;Otis Worldwide Corporation;OTIS;0.08%;92.93;0.19;(0.20%);2025-04-26
233;Hess Corporation;HES;0.08%;132.34;-0.04;(-0.03%);2025-04-26
234;Entergy Corporation;ETR;0.08%;84.61;-0.36;(-0.42%);2025-04-26
235;Take-Two Interactive Software Inc;TTWO;0.08%;225.38;2.69;(1.21%);2025-04-26
236;Cbre Group, Inc.;CBRE;0.08%;120.73;-2.15;(-1.75%);2025-04-26
237;Idexx Laboratories Inc;IDXX;0.08%;437.44;-3.54;(-0.80%);2025-04-26
238;Baker Hughes Company;BKR;0.08%;36.45;0.07;(0.19%);2025-04-26
239;Valero Energy Corporation;VLO;0.08%;113.87;0.51;(0.45%);2025-04-26
240;D.R. Horton Inc.;DHI;0.08%;124.56;-1.48;(-1.17%);2025-04-26
241;Cognizant Technology Solutions;CTSH;0.08%;72.17;0.05;(0.07%);2025-04-26
242;Sysco Corporation;SYY;0.08%;70.93;-1.61;(-2.22%);2025-04-26
243;Costar Group Inc;CSGP;0.08%;82.82;-0.40;(-0.48%);2025-04-26
244;Resmed Inc.;RMD;0.07%;235.88;-0.22;(-0.09%);2025-04-26
245;Electronic Arts Inc;EA;0.07%;146.60;0.41;(0.28%);2025-04-26
246;Arch Capital Group Ltd;ACGL;0.07%;90.68;-1.42;(-1.54%);2025-04-26
247;Wec Energy Group, Inc.;WEC;0.07%;107.73;-1.18;(-1.08%);2025-04-26
248;The Hartford Insurance Group, Inc.;HIG;0.07%;118.76;-0.48;(-0.40%);2025-04-26
249;Vici Properties Inc.;VICI;0.07%;32.22;-0.24;(-0.74%);2025-04-26
250;Corning Incorporated;GLW;0.07%;44.18;0.30;(0.68%);2025-04-26
251;Vulcan Materials Company;VMC;0.07%;247.04;-2.47;(-0.99%);2025-04-26
252;Cardinal Health, Inc.;CAH;0.07%;137.56;1.72;(1.27%);2025-04-26
253;Charter Comm Inc Del Cl a;CHTR;0.07%;373.65;38.32;(11.43%);2025-04-26
254;Humana Inc.;HUM;0.07%;264.40;-3.43;(-1.28%);2025-04-26
255;Ebay Inc;EBAY;0.07%;67.83;0.63;(0.94%);2025-04-26
256;Gartner, Inc.;IT;0.07%;416.09;-1.76;(-0.42%);2025-04-26
257;Equifax, Incorporated;EFX;0.07%;256.48;-0.72;(-0.28%);2025-04-26
258;Wabtec Inc.;WAB;0.07%;184.03;-1.35;(-0.73%);2025-04-26
259;Martin Marietta Materials;MLM;0.07%;504.44;-4.81;(-0.94%);2025-04-26
260;General Mills, Inc.;GIS;0.07%;56.14;-0.25;(-0.44%);2025-04-26
261;Nasdaq, Inc.;NDAQ;0.07%;75.36;0.62;(0.83%);2025-04-26
262;Ge Healthcare Technologies Inc.;GEHC;0.07%;68.42;1.34;(2.00%);2025-04-26
263;Willis Towers Watson Public Limited Companys;WTW;0.07%;302.19;-4.87;(-1.59%);2025-04-26
264;Garmin Ltd;GRMN;0.07%;198.96;-0.15;(-0.08%);2025-04-26
265;Ingersoll Rand Inc.;IR;0.07%;74.98;-0.76;(-1.00%);2025-04-26
266;Centene Corporation;CNC;0.07%;57.69;-3.89;(-6.32%);2025-04-26
267;Agilent Technologies Inc.;A;0.07%;106.28;-0.74;(-0.69%);2025-04-26
268;Lululemon Athletica Inc.;LULU;0.07%;267.90;-2.74;(-1.01%);2025-04-26
269;Extra Space Storage, Inc.;EXR;0.06%;141.05;-0.81;(-0.57%);2025-04-26
270;Ventas, Inc.;VTR;0.06%;68.16;-0.25;(-0.37%);2025-04-26
271;Old Dominion Freight Line;ODFL;0.06%;146.74;-12.16;(-7.65%);2025-04-26
272;Dell Technologies Inc.;DELL;0.06%;94.89;0.49;(0.52%);2025-04-26
273;Avalonbay Communities, Inc.;AVB;0.06%;205.76;-0.97;(-0.47%);2025-04-26
274;Constellation Brands, Inc.;STZ;0.06%;185.35;-2.15;(-1.15%);2025-04-26
275;Eqt Corp;EQT;0.06%;50.24;1.42;(2.91%);2025-04-26
276;American Water Works Company, Inc;AWK;0.06%;143.97;-2.07;(-1.42%);2025-04-26
277;Dte Energy Company;DTE;0.06%;134.76;-2.22;(-1.62%);2025-04-26
278;Xylem Inc;XYL;0.06%;116.10;0.49;(0.42%);2025-04-26
279;M&t Bank Corp.;MTB;0.06%;167.39;-1.77;(-1.05%);2025-04-26
280;Rockwell Automation, Inc.;ROK;0.06%;248.38;-0.16;(-0.06%);2025-04-26
281;Brown & Brown, Inc.;BRO;0.06%;114.44;-3.32;(-2.82%);2025-04-26
282;Broadridge Financial Solutions Inc;BR;0.06%;237.72;-0.41;(-0.17%);2025-04-26
283;Monolithic Power Systems, Inc.;MPWR;0.06%;583.72;2.97;(0.51%);2025-04-26
284;Ansys Inc;ANSS;0.06%;320.68;4.32;(1.37%);2025-04-26
285;Dexcom, Inc.;DXCM;0.06%;71.66;0.88;(1.24%);2025-04-26
286;Dupont De Nemours, Inc.;DD;0.06%;65.69;-0.36;(-0.55%);2025-04-26
287;Occidental Petroleum Corporation;OXY;0.06%;40.36;-0.01;(-0.02%);2025-04-26
288;Nucor Corporation;NUE;0.06%;115.72;0.43;(0.37%);2025-04-26
289;Delta Air Lines, Inc.;DAL;0.06%;41.58;-0.44;(-1.05%);2025-04-26
290;Ppl Corporation;PPL;0.06%;35.93;-0.32;(-0.88%);2025-04-26
291;Ameren Corporation;AEE;0.06%;98.28;-0.64;(-0.65%);2025-04-26
292;Tractor Supply Co;TSCO;0.06%;49.92;0.92;(1.88%);2025-04-26
293;The Kraft Heinz Company;KHC;0.06%;29.49;-0.15;(-0.51%);2025-04-26
294;Lennar Corporation Class A;LEN;0.05%;107.63;-1.59;(-1.46%);2025-04-26
295;Diamondback Energy, Inc.;FANG;0.05%;136.76;0.60;(0.44%);2025-04-26
296;Godaddy Inc;GDDY;0.05%;183.40;2.98;(1.65%);2025-04-26
297;Atmos Energy Corporation;ATO;0.05%;158.14;-1.53;(-0.96%);2025-04-26
298;Microchip Technology Inc;MCHP;0.05%;46.89;-0.23;(-0.49%);2025-04-26
299;State Street Corporation;STT;0.05%;87.38;-0.19;(-0.22%);2025-04-26
300;Iqvia Holdings Inc.;IQV;0.05%;150.28;-0.40;(-0.27%);2025-04-26
301;Texas Pacific Land Corporation;TPL;0.05%;1,334.63;-1.16;(-0.09%);2025-04-26
302;Raymond James Financial, Inc.;RJF;0.05%;137.37;0.11;(0.08%);2025-04-26
303;Iron Mountain Inc.;IRM;0.05%;87.72;2.40;(2.81%);2025-04-26
304;International Paper Co.;IP;0.05%;47.35;-0.28;(-0.59%);2025-04-26
305;Keysight Technologies, Inc.;KEYS;0.05%;144.01;0.22;(0.15%);2025-04-26
306;Centerpoint Energy, Inc.;CNP;0.05%;38.19;0.29;(0.77%);2025-04-26
307;Church & Dwight Co., Inc.;CHD;0.05%;99.31;-0.90;(-0.90%);2025-04-26
308;The Hershey Company;HSY;0.05%;163.28;-0.71;(-0.43%);2025-04-26
309;Ppg Industries, Inc.;PPG;0.05%;102.57;-1.56;(-1.50%);2025-04-26
310;Fifth Third Bancorp;FITB;0.05%;35.28;-0.50;(-1.41%);2025-04-26
311;Sba Communications Corp;SBAC;0.05%;222.09;-0.75;(-0.34%);2025-04-26
312;Hp Inc.;HPQ;0.05%;25.28;-0.05;(-0.20%);2025-04-26
